trial_id	run_path	giga_image	vrb_image
23-12-07-04-17-33_round_000_trial_000	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-33	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-33/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-33/vrb/round_000_trial_000.png
23-12-07-04-17-33_round_000_trial_002	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-33	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-33/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-33/vrb/round_000_trial_001.png
23-12-07-04-17-33_round_000_trial_001	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-33	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-33/grasp_images/round_000_trial_002.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-33/vrb/round_000_trial_002.png
23-12-07-04-16-11_round_000_trial_001	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11/vrb/round_000_trial_000.png
23-12-07-04-16-11_round_000_trial_005	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11/vrb/round_000_trial_001.png
23-12-07-04-16-11_round_000_trial_002	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11/grasp_images/round_000_trial_002.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11/vrb/round_000_trial_002.png
23-12-07-04-16-11_round_000_trial_004	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11/grasp_images/round_000_trial_003.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11/vrb/round_000_trial_003.png
23-12-07-04-16-11_round_000_trial_000	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11/grasp_images/round_000_trial_004.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11/vrb/round_000_trial_004.png
23-12-07-04-16-11_round_000_trial_003	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11/grasp_images/round_000_trial_005.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11/vrb/round_000_trial_005.png
23-12-07-04-16-18_round_000_trial_001	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18/vrb/round_000_trial_000.png
23-12-07-04-16-18_round_000_trial_002	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18/vrb/round_000_trial_001.png
23-12-07-04-16-18_round_000_trial_004	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18/grasp_images/round_000_trial_002.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18/vrb/round_000_trial_002.png
23-12-07-04-16-18_round_000_trial_000	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18/grasp_images/round_000_trial_003.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18/vrb/round_000_trial_003.png
23-12-07-04-16-18_round_000_trial_003	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18/grasp_images/round_000_trial_004.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18/vrb/round_000_trial_004.png
23-12-07-04-17-39_round_000_trial_000	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-39	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-39/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-39/vrb/round_000_trial_000.png
23-12-07-04-17-39_round_000_trial_002	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-39	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-39/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-39/vrb/round_000_trial_001.png
23-12-07-04-17-39_round_000_trial_001	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-39	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-39/grasp_images/round_000_trial_002.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-39/vrb/round_000_trial_002.png
23-12-07-04-17-30_round_000_trial_001	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30/vrb/round_000_trial_000.png
23-12-07-04-17-30_round_000_trial_002	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30/vrb/round_000_trial_001.png
23-12-07-04-17-30_round_000_trial_004	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30/grasp_images/round_000_trial_002.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30/vrb/round_000_trial_002.png
23-12-07-04-17-30_round_000_trial_000	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30/grasp_images/round_000_trial_003.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30/vrb/round_000_trial_003.png
23-12-07-04-17-30_round_000_trial_003	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30/grasp_images/round_000_trial_004.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30/vrb/round_000_trial_004.png
23-12-07-04-17-36_round_000_trial_001	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-36	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-36/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-36/vrb/round_000_trial_000.png
23-12-07-04-17-36_round_000_trial_002	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-36	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-36/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-36/vrb/round_000_trial_001.png
23-12-07-04-17-36_round_000_trial_004	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-36	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-36/grasp_images/round_000_trial_002.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-36/vrb/round_000_trial_002.png
